Nome produto;Imagem principal;Imagem 2;Imagem 3;Imagem 4;Marca;Modelo;Imagens adicionais;Nome categoria
Centrífuga Digital até 2400rpm para butirômetro de Gerber Bivolt - DTB-2400-BI;https://images.tcdn.com.br/img/img_prod/1357340/centrifuga_digital_ate_2400rpm_para_butirometro_de_gerber_bivolt_dtb_2400_14403_1_215c02802230bb5c76f209a8788028b0.png;;;;Daiki;DTB-2400;;Equipamentos
Centrífuga Digital para Citologia até 2200rpm - DTC-2200-BI;https://images.tcdn.com.br/img/img_prod/1357340/centrifuga_digital_para_citologia_ate_2200rpm_dtc_2200_bi_14409_1_84a895110eb36b203bc47cbc2dd65851.png;https://images.tcdn.com.br/img/img_prod/1357340/centrifuga_digital_para_citologia_ate_2200rpm_dtc_2200_bi_14409_2_8cae02c52f38cf79b8d5a69380e8b0c4.png;https://images.tcdn.com.br/img/img_prod/1357340/centrifuga_digital_para_citologia_ate_2200rpm_dtc_2200_bi_14409_3_54230738b50f451bd050628a469f0e65.png;;Daiki;DTC-2200-BI;;Equipamentos
Condutivímetro Portátil - CON500-NM;https://images.tcdn.com.br/img/img_prod/1357340/condutivimetro_portatil_con500_nm_14543_1_ceb5cf8a329339c700fc18d715099c1c.png;https://images.tcdn.com.br/img/img_prod/1357340/condutivimetro_portatil_con500_nm_14543_2_e68a337e6fe3b658391f4081f341ecc0.png;https://images.tcdn.com.br/img/img_prod/1357340/condutivimetro_portatil_con500_nm_14543_3_cf32ebdf9bb3dca8d590368c554830cb.png;;Satra;CON500-NM;;Equipamentos
Condutivímetro Portátil - DDB-12L;https://images.tcdn.com.br/img/img_prod/1357340/condutivimetro_portatil_ddb_12l_14544_1_3d34816c4051cf04979792a23357c8e0.png;https://images.tcdn.com.br/img/img_prod/1357340/condutivimetro_portatil_ddb_12l_14544_2_6789fd66bbcf3be52d08e2c0f9edbceb.png;https://images.tcdn.com.br/img/img_prod/1357340/condutivimetro_portatil_ddb_12l_14544_3_39b8d17c8e1c8a854b01feabdc779279.png;;Satra;DDB-12L;;Equipamentos
Contador Manual de Volumes - ION10205;https://images.tcdn.com.br/img/img_prod/1357340/contador_manual_de_volumes_ion10205_14557_1_dfdef6f16a922e817af0f5b395d18397.png;https://images.tcdn.com.br/img/img_prod/1357340/contador_manual_de_volumes_ion10205_14557_2_349c31eea23a5385cce9cf5128820a84.png;https://images.tcdn.com.br/img/img_prod/1357340/contador_manual_de_volumes_ion10205_14557_3_a8d78d7c9bd3d5c3c1a71953efe510d6.png;;Satra;ION10205;;Equipamentos
Evaporador Rotativo, Digital com Circulação até 150rpm - SKL-25A;https://images.tcdn.com.br/img/img_prod/1357340/evaporador_rotativo_digital_com_circulao_at_150rpm_1_20260115151553_0953beddff28.png;https://images.tcdn.com.br/img/img_prod/1357340/evaporador_rotativo_digital_com_circulao_at_150rpm_2_20260115151553_ae7475bf0a2a.png;https://images.tcdn.com.br/img/img_prod/1357340/evaporador_rotativo_digital_com_circulao_at_150rpm_3_20260115151553_71b08c5d34c8.png;https://images.tcdn.com.br/img/img_prod/1357340/evaporador_rotativo_digital_com_circulao_at_150rpm_4_20260115151553_eef30332a9ad.png;Satra;SKL-25A;https://www.youtube.com/embed/_VexeNuW4-c, https://images.tcdn.com.br/img/img_prod/1357340/evaporador_rotativo_digital_com_circulacao_ate_150rpm_skl_25a_15146_4_237c8ccdda7fcf8c0e32c2f1bfa74b74.png, https://images.tcdn.com.br/img/img_prod/1357340/evaporador_rotativo_digital_com_circulacao_ate_150rpm_skl_25a_15146_5_8ca24212152269235103dfdd6ed0c05a.png, https://images.tcdn.com.br/img/img_prod/1357340/evaporador_rotativo_digital_com_circulacao_ate_150rpm_skl_25a_15146_6_f8d18ff7d9f7af05682281df9ebccf92.png;Equipamentos
ÁGAR BASE BAIRD PARKER - FRASCO 500G - MARCA ION - IO013-500;https://images.tcdn.com.br/img/img_prod/1357340/agar_base_baird_parker_frasco_500g_marca_ion_io013_500_15436_1_aa80d04ac9b2e68aad7fbddf039d0691.png;;;;IonCult;IO013-500;;Meios de Cultura
AGAR SANGUE BASE (AGAR INFUSÃO) SEM SANGUE - FRASCO 500G - MARCA ION  IO014-500;https://images.tcdn.com.br/img/img_prod/1357340/agar_sangue_base_agar_infusao_sem_sangue_frasco_500g_marca_ion_io014_500_15437_1_ba0afe982dffcfedb03f406fcb382e38.png;;;;IonCult;IO014-500;;Meios de Cultura
Agar Bile Vermelho Violeta Glicose c/ Lactose - Marca ION - IO033-500;https://images.tcdn.com.br/img/img_prod/1357340/agar_bile_vermelho_violeta_glicose_c_lactose_frasco_500g_marca_ion_io033_500_15439_1_cabd6dfe9f84710ad637f3c0d080ccf9.png;;;;Ion;IO033-500;;Meios de Cultura
Agar Triptona de Soja (TSA) - Marca ION - IO039-500;https://images.tcdn.com.br/img/img_prod/1357340/agar_triptona_de_soja_tsa_frasco_500g_marca_ion_io039_500_15443_1_d687b5472573fa77fad4a4453cd472a9.png;;;;Ion;IO039-500;;Meios de Cultura
